Pradako ID,Authority,Standard,Title,Lifecycle,File,Authority Hub,Page Source,Previous Path
PRA-SPC-00057,ASTM,ASTM F3393,Standard Specification for Zinc-Flake Coating Systems for Fasteners,Current-use reference,specifications/astm/astm-f3393.html,specifications/astm/astm-specifications.html,generated_from_master_record,
PRA-SPC-00058,ASTM,ASTM A31,"Standard Specification for Steel Rivets and Bars for Rivets, Pressure Vessels",Current-use reference,specifications/astm/astm-a31.html,specifications/astm/astm-specifications.html,generated_from_master_record,
PRA-SPC-00059,ASTM,ASTM A437/A437M,Standard Specification for Stainless and Alloy-Steel Turbine-Type Bolting Specially Heat Treated for High-Temperature Service,Current-use reference,specifications/astm/astm-a437-a437m.html,specifications/astm/astm-specifications.html,preserved_enhanced_page,specifications/astm/astm-a437-a437m/index.html
PRA-SPC-00060,ASTM,ASTM A453/A453M,"Standard Specification for High-Temperature Bolting, with Expansion Coefficients Comparable to Austenitic Stainless Steels",Current-use reference,specifications/astm/astm-a453-a453m.html,specifications/astm/astm-specifications.html,preserved_enhanced_page,specifications/astm/astm-a453-a453m/index.html
PRA-SPC-00061,ASTM,ASTM A489,Standard Specification for Carbon Steel Eyebolts,Current-use reference,specifications/astm/astm-a489.html,specifications/astm/astm-specifications.html,preserved_enhanced_page,specifications/astm/astm-a489/index.html
PRA-SPC-00062,ASTM,ASTM A502,Standard Specification for Steel Structural Rivets,Current-use reference,specifications/astm/astm-a502.html,specifications/astm/astm-specifications.html,preserved_enhanced_page,
PRA-SPC-00063,ASTM,ASTM A540/A540M,Standard Specification for Alloy-Steel Bolting for Special Applications,Current-use reference,specifications/astm/astm-a540-a540m.html,specifications/astm/astm-specifications.html,preserved_enhanced_page,specifications/astm/astm-a540-a540m/index.html
PRA-SPC-00064,ASTM,ASTM A1014/A1014M,Standard Specification for Precipitation-Hardening Bolting (UNS N07718) for High Temperature Service,Current-use reference,specifications/astm/astm-a1014-a1014m.html,specifications/astm/astm-specifications.html,preserved_enhanced_page,specifications/astm/astm-a1014-a1014m/index.html
PRA-SPC-00065,ASTM,ASTM A1082/A1082M,Standard Specification for High Strength Precipitation Hardening and Duplex Stainless Steel Bolting for Special Purpose Applications,Current-use reference,specifications/astm/astm-a1082-a1082m.html,specifications/astm/astm-specifications.html,preserved_enhanced_page,specifications/astm/astm-a1082-a1082m/index.html
PRA-SPC-00066,ASTM,ASTM F432,Standard Specification for Roof and Rock Bolts and Accessories,Current-use reference,specifications/astm/astm-f432.html,specifications/astm/astm-specifications.html,preserved_enhanced_page,
PRA-SPC-00067,ASTM,ASTM F467,Standard Specification for Nonferrous Nuts for General Use,Current-use reference,specifications/astm/astm-f467.html,specifications/astm/astm-specifications.html,preserved_enhanced_page,specifications/astm/astm-f467/index.html
PRA-SPC-00068,ASTM,ASTM F467M,Standard Specification for Nonferrous Nuts for General Use (Metric),Current-use reference,specifications/astm/astm-f467m.html,specifications/astm/astm-specifications.html,preserved_enhanced_page,
PRA-SPC-00069,ASTM,ASTM F468,"Standard Specification for Nonferrous Bolts, Hex Cap Screws, Socket Head Cap Screws, and Studs for General Use",Current-use reference,specifications/astm/astm-f468.html,specifications/astm/astm-specifications.html,preserved_enhanced_page,specifications/astm/astm-f468/index.html
PRA-SPC-00070,ASTM,ASTM F468M,"Standard Specification for Nonferrous Bolts, Hex Cap Screws, and Studs for General Use (Metric)",Current-use reference,specifications/astm/astm-f468m.html,specifications/astm/astm-specifications.html,preserved_enhanced_page,
PRA-SPC-00071,ASTM,ASTM F541,Standard Specification for Alloy Steel Eyebolts,Current-use reference,specifications/astm/astm-f541.html,specifications/astm/astm-specifications.html,preserved_enhanced_page,
PRA-SPC-00072,ASTM,ASTM F901,Standard Specification for Aluminum Transmission Tower Bolts and Nuts,Current-use reference,specifications/astm/astm-f901.html,specifications/astm/astm-specifications.html,preserved_enhanced_page,
PRA-SPC-00073,ASTM,ASTM F1137/F1137M,Standard Specification for Phosphate/Oil Corrosion Protective Coatings for Fasteners,Current-use reference,specifications/astm/astm-f1137-f1137m.html,specifications/astm/astm-specifications.html,generated_from_master_record,
PRA-SPC-00074,ASTM,ASTM F1428,"Standard Specification for Aluminum Particle-Filled Basecoat/Organic or Inorganic Topcoat, Corrosion Protective Coatings for Fasteners",Current-use reference,specifications/astm/astm-f1428.html,specifications/astm/astm-specifications.html,generated_from_master_record,
PRA-SPC-00075,ASTM,ASTM F1575/F1575M,"Standard Test Method for Determining Bending Yield Moment of Nails, Spikes, and Dowel-type Threaded Fasteners",Current-use reference,specifications/astm/astm-f1575-f1575m.html,specifications/astm/astm-specifications.html,generated_from_master_record,
PRA-SPC-00076,ASTM,ASTM F2281,"Standard Specification for Stainless Steel and Nickel Alloy Bolts, Hex Cap Screws, and Studs, for Heat Resistance and High Temperature Applications",Current-use reference,specifications/astm/astm-f2281.html,specifications/astm/astm-specifications.html,preserved_enhanced_page,specifications/astm/astm-f2281/index.html
PRA-SPC-00077,ASTM,ASTM F2282,"Standard Specification for Quality Assurance Requirements for Carbon and Alloy Steel Wire, Rods, and Bars for Mechanical Fasteners",Current-use reference,specifications/astm/astm-f2282.html,specifications/astm/astm-specifications.html,generated_from_master_record,
PRA-SPC-00078,ASTM,ASTM F2328M,"Standard Test Method for Determining Decarburization and Carburization in Hardened and Tempered Threaded Steel Bolts, Screws, Studs, and Nuts (Metric)",Current-use reference,specifications/astm/astm-f2328m.html,specifications/astm/astm-specifications.html,generated_from_master_record,
PRA-SPC-00079,ASTM,ASTM F2660,Standard Test Method for Qualifying Coatings for Use on F3125 Grade A490 Structural Bolts Relative to Environmental Hydrogen Embrittlement,Current-use reference,specifications/astm/astm-f2660.html,specifications/astm/astm-specifications.html,generated_from_master_record,
PRA-SPC-00080,ASTM,ASTM F2832,Standard Guide for Accelerated Corrosion Testing for Mechanical Fasteners,Current-use reference,specifications/astm/astm-f2832.html,specifications/astm/astm-specifications.html,generated_from_master_record,
PRA-SPC-00081,ASTM,ASTM F3042,"Standard Specification for Nonferrous Hex Socket, Slotted Headless, and Square Head Set Screws",Current-use reference,specifications/astm/astm-f3042.html,specifications/astm/astm-specifications.html,preserved_enhanced_page,
PRA-SPC-00082,ASTM,ASTM F3329,Standard Specification for Carbon and Alloy Steel Metric Rivets,Current-use reference,specifications/astm/astm-f3329.html,specifications/astm/astm-specifications.html,preserved_enhanced_page,
PRA-SPC-00083,ASTM,ASTM F3394/F3394M,Standard Specification for Hardened Steel Backup and Reaction Washers Inch and Metric Dimensions,Current-use reference,specifications/astm/astm-f3394-f3394m.html,specifications/astm/astm-specifications.html,generated_from_master_record,
PRA-SPC-00084,ISO,ISO 898-1:2013,"Mechanical properties of fasteners made of carbon steel and alloy steel — Part 1: Bolts, screws and studs with specified property classes — Coarse thread and fine pitch thread",Current-use reference,specifications/iso/iso-898-1.html,specifications/iso/iso-specifications.html,preserved_enhanced_page,specifications/iso/iso-898-1/index.html
PRA-SPC-00085,ISO,ISO 898-2:2022,Fasteners — Mechanical properties of fasteners made of carbon steel and alloy steel — Part 2: Nuts with specified property classes,Current-use reference,specifications/iso/iso-898-2.html,specifications/iso/iso-specifications.html,preserved_enhanced_page,specifications/iso/iso-898-2/index.html
PRA-SPC-00086,ISO,ISO 898-3:2018,Mechanical properties of fasteners made of carbon steel and alloy steel — Part 3: Flat washers with specified property classes,Current-use reference,specifications/iso/iso-898-3.html,specifications/iso/iso-specifications.html,preserved_enhanced_page,specifications/iso/iso-898-3/index.html
PRA-SPC-00087,ISO,ISO 898-5:2012,Mechanical properties of fasteners made of carbon steel and alloy steel — Part 5: Set screws and similar threaded fasteners with specified hardness classes — Coarse thread and fine pitch thread,Current-use reference,specifications/iso/iso-898-5.html,specifications/iso/iso-specifications.html,preserved_enhanced_page,specifications/iso/iso-898-5/index.html
PRA-SPC-00088,ISO,ISO 898-6:1994,Mechanical properties of fasteners — Part 6: Nuts with specified proof load values — Fine pitch thread,Withdrawn,specifications/iso/iso-898-6.html,specifications/iso/iso-specifications.html,preserved_enhanced_page,specifications/iso/iso-898-6/index.html
PRA-SPC-00089,ISO,ISO 3506-1:2020,"Fasteners — Mechanical properties of corrosion-resistant stainless steel fasteners — Part 1: Bolts, screws and studs with specified grades and property classes",Current-use reference,specifications/iso/iso-3506-1.html,specifications/iso/iso-specifications.html,preserved_enhanced_page,specifications/iso/iso-3506-1/index.html
PRA-SPC-00090,ISO,ISO 3506-2:2020,Fasteners — Mechanical properties of corrosion-resistant stainless steel fasteners — Part 2: Nuts with specified grades and property classes,Current-use reference,specifications/iso/iso-3506-2.html,specifications/iso/iso-specifications.html,preserved_enhanced_page,specifications/iso/iso-3506-2/index.html
PRA-SPC-00091,ISO,ISO 3506-3:2025,Fasteners — Mechanical properties of corrosion resistant stainless steel fasteners — Part 3: Set screws (and similar fasteners not under tensile stress) with specified grades and hardness classes,Current-use reference,specifications/iso/iso-3506-3.html,specifications/iso/iso-specifications.html,preserved_enhanced_page,specifications/iso/iso-3506-3/index.html
PRA-SPC-00092,ISO,ISO 3506-4:2025,Fasteners — Mechanical properties of corrosion-resistant stainless steel fasteners — Part 4: Tapping screws with specified grades and hardness classes,Current-use reference,specifications/iso/iso-3506-4.html,specifications/iso/iso-specifications.html,preserved_enhanced_page,specifications/iso/iso-3506-4/index.html
PRA-SPC-00093,ISO,ISO 3506-5:2022,Fasteners — Mechanical properties of corrosion-resistant stainless steel fasteners — Part 5: Special fasteners (also including fasteners from nickel alloys) for high temperature applications,Current-use reference,specifications/iso/iso-3506-5.html,specifications/iso/iso-specifications.html,preserved_enhanced_page,
PRA-SPC-00094,ISO,ISO 3506-6:2020,Fasteners — Mechanical properties of corrosion-resistant stainless steel fasteners — Part 6: General rules for the selection of stainless steels and nickel alloys for fasteners,Current-use reference,specifications/iso/iso-3506-6.html,specifications/iso/iso-specifications.html,generated_from_master_record,
PRA-SPC-00095,ISO,ISO 2702:2022,Fasteners — Heat treated tapping screws — Mechanical and physical properties,Legacy / Superseded,specifications/iso/iso-2702.html,specifications/iso/iso-specifications.html,generated_from_master_record,
PRA-SPC-00096,ISO,ISO 8839:1986,"Mechanical properties of fasteners — Bolts, screws, studs and nuts made of non-ferrous metals",Legacy / Superseded,specifications/iso/iso-8839.html,specifications/iso/iso-specifications.html,generated_from_master_record,
