Old Path,New Path,Pradako ID,Standard
specifications/sae/sae-j995/index.html,specifications/sae/sae-j995.html,PRA-SPC-00434,SAE J995
specifications/aashto/aashto-m164/index.html,specifications/aashto/aashto-m164.html,PRA-SPC-00546,AASHTO M164
specifications/aashto/aashto-m232/index.html,specifications/aashto/aashto-m232m-m232-25.html,PRA-SPC-00547,AASHTO M232M/M232-25
specifications/aashto/aashto-m253/index.html,specifications/aashto/aashto-m253.html,PRA-SPC-00548,AASHTO M253
specifications/aashto/aashto-m291/index.html,specifications/aashto/aashto-m291.html,PRA-SPC-00549,AASHTO M291
specifications/aashto/aashto-m292/index.html,specifications/aashto/aashto-m292m-m292-25.html,PRA-SPC-00550,AASHTO M292M/M292-25
specifications/aashto/aashto-m293/index.html,specifications/aashto/aashto-m293.html,PRA-SPC-00551,AASHTO M293
specifications/aashto/aashto-m314/index.html,specifications/aashto/aashto-m314-90-2022.html,PRA-SPC-00552,AASHTO M314-90 (2022)
specifications/asme/asme-b18-21-1/index.html,specifications/asme/asme-b18-21-1-2009-r2016.html,PRA-SPC-00553,ASME B18.21.1-2009 (R2016)
specifications/csa/csa-g40-21/index.html,specifications/csa/csa-g40-21-13-r2023.html,PRA-SPC-00554,CSA G40.21-13 (R2023)
specifications/astm/astm-a105/index.html,specifications/astm/astm-a105-a105m.html,PRA-SPC-00555,ASTM A105/A105M
specifications/astm/astm-a108/index.html,specifications/astm/astm-a108.html,PRA-SPC-00556,ASTM A108
specifications/astm/astm-a182/index.html,specifications/astm/astm-a182-a182m.html,PRA-SPC-00557,ASTM A182/A182M
specifications/astm/astm-a240/index.html,specifications/astm/astm-a240-a240m.html,PRA-SPC-00558,ASTM A240/A240M
specifications/astm/astm-a276/index.html,specifications/astm/astm-a276-a276m.html,PRA-SPC-00559,ASTM A276/A276M
specifications/astm/astm-a29/index.html,specifications/astm/astm-a29-a29m.html,PRA-SPC-00560,ASTM A29/A29M
specifications/astm/astm-a350/index.html,specifications/astm/astm-a350-a350m.html,PRA-SPC-00561,ASTM A350/A350M
specifications/astm/astm-a479/index.html,specifications/astm/astm-a479-a479m.html,PRA-SPC-00562,ASTM A479/A479M
specifications/astm/astm-a522/index.html,specifications/astm/astm-a522-a522m.html,PRA-SPC-00563,ASTM A522/A522M
